song;energy;tags;youtube
A Alegria Está No Coração;"";crianças;https://www.youtube.com/live/B2XTYia0VFc?si=z1vWPKMfulPcyXPU&t=2919
A Casa é Sua;3;louvor(2);https://youtu.be/5QHF5OQeFOs?si=aVCGxciAk2jMYheP
Abra os olhos do meu coração;"";prelúdio;https://youtu.be/6v9i3YVSHIY?si=DL-dsdMsFboxMrms
Agradeço;"";ofertório;https://www.youtube.com/live/HaOfqSn5__8?si=ITHBNUZtto5RSRLm&t=1911
Amigo de Deus;4;louvor;https://www.youtube.com/watch?v=tLO8Sqkccj4
Ao Único;4;louvor;https://www.youtube.com/live/rzLT6uaKFfA?si=O9OQJCm7AuboyTeP&t=2902
Aos Pés da Cruz;4;louvor
Autoridade e Poder;"";prelúdio,poslúdio
Brilha Jesus;"";saudação,poslúdio
Consagração;4;louvor
Corpo e Família;"";saudação
Creio que Tu És a Cura;4;louvor(1)
Deus Cuida de Mim;4;louvor
Deus Grandão;"";crianças
Deus de Promessas;3;louvor(2)
Em Espírito Em Verdade;3;louvor
Entrega;4;louvor
Espírito Enche a Minha Vida;"";prelúdio
Estamos de Pé;"";prelúdio,poslúdio
Eu Navegarei;4;louvor;https://www.youtube.com/live/rzLT6uaKFfA?si=CTvOvwR0bw3qOuxx&t=3055
Eu Te Busco;1;prelúdio,poslúdio,saudação,louvor;https://www.youtube.com/live/pxsBdAzr_Pk?si=3HKDaqvbyJLTdxK4&t=932
Fico Feliz;"";crianças
Grande É o Senhor;3;louvor
Homenzinho Torto;"";crianças
Hosana;3;louvor
Há Uma Unção;"";saudação(1)
Jesus Em Tua Presença;3;louvor;https://www.youtube.com/live/rzLT6uaKFfA?si=lyYpoiemKVYfE6pa&t=2632
Leão da Tribo de Judá;"";prelúdio,poslúdio
Livre Acesso;4;louvor
Lugar Secreto;4;louvor
Mais Que Uma Voz;3;louvor
Me Derramar;4;louvor
Naves Imperiais;"";poslúdio(1)
Noite de Paz;"";natal-prelúdio,natal-poslúdio
O Nosso General É Cristo;"";prelúdio,poslúdio
Oceanos;3;louvor(2)
Ousado Amor;4;louvor(4)
Perfeito Amor;3;louvor(4)
Porque Ele Vive;"";prelúdio(2),poslúdio(2)
Precioso;4;louvor
Quebrantado;3;louvor
Rei Davi;"";crianças
Reina em Mim;"";prelúdio,poslúdio,saudação,ofertório
Rio de Vida;"";prelúdio,poslúdio,saudação
Rude Cruz;"";prelúdio,poslúdio
Santo Pra Sempre;4;louvor
Santo de Deus;1;prelúdio,poslúdio,louvor(4);https://www.youtube.com/live/rzLT6uaKFfA?si=XdHtsoh8QDnH8txV&t=2368
Te Agradeço;"";prelúdio,poslúdio,ofertório
Tributo a Jehovah;"";prelúdio,poslúdio,ofertório
Tudo é Perda;4;louvor(4)
Vaso Novo;4;louvor
Venho Senhor Minha Vida Oferecer;"";ofertório
Vim para Adorar-Te;3;louvor
Vou Deixar Na Cruz;4;louvor
Vou Seguir Com Fé;"";prelúdio,poslúdio
Bondade de Deus;4;louvor(7);https://www.youtube.com/watch?v=mZ9yZYo9Mmk
