song;energy;tags
A Alegria Está No Coração;1;crianças
A Casa é Sua;2;louvor(2)
Abra os olhos do meu coração;2;prelúdio
Agradeço;3;ofertório
Amigo de Deus;3;louvor
Ao Único;3;louvor
Aos Pés da Cruz;4;louvor
Autoridade e Poder;1;prelúdio,poslúdio
Brilha Jesus;2;saudação,poslúdio
Consagração;3;louvor
Corpo e Família;2;saudação
Creio que Tu És a Cura;4;louvor(1)
Deus Cuida de Mim;3;louvor
Deus Grandão;1;crianças
Deus de Promessas;2;louvor(2)
Em Espírito Em Verdade;3;louvor
Entrega;3;louvor
Espírito Enche a Minha Vida;2;prelúdio
Estamos de Pé;1;prelúdio,poslúdio
Eu Navegarei;2;louvor
Eu Te Busco;2;prelúdio,poslúdio,saudação,louvor
Fico Feliz;1;crianças
Grande É o Senhor;2;louvor
Homenzinho Torto;1;crianças
Hosana;1;louvor
Há Uma Unção;2;saudação
Jesus Em Tua Presença;3;louvor
Leão da Tribo de Judá;1;prelúdio,poslúdio
Livre Acesso;2;louvor
Lugar Secreto;4;louvor
Mais Que Uma Voz;3;louvor
Me Derramar;3;louvor
Naves Imperiais;2;poslúdio
Noite de Paz;4;natal-prelúdio,natal-poslúdio
O Nosso General É Cristo;1;prelúdio,poslúdio
Oceanos;2;louvor(2)
Ousado Amor;2;louvor
Perfeito Amor;3;louvor
Porque Ele Vive;2;prelúdio(2),poslúdio(2)
Precioso;3;louvor
Quebrantado;3;louvor
Rei Davi;1;crianças
Reina em Mim;3;prelúdio,poslúdio,saudação,ofertório
Rio de Vida;2;prelúdio,poslúdio,saudação
Rude Cruz;3;prelúdio,poslúdio
Santo Pra Sempre;1;louvor
Santo de Deus;2;prelúdio,poslúdio,louvor
Te Agradeço;3;prelúdio,poslúdio,ofertório
Tributo a Jehovah;2;prelúdio,poslúdio,ofertório
Tudo é Perda;4;louvor(5)
Vaso Novo;2;louvor(2)
Venho Senhor Minha Vida Oferecer;3;ofertório
Vim para Adorar-Te;3;louvor
Vou Deixar Na Cruz;3;louvor
Vou Seguir Com Fé;2;prelúdio,poslúdio
